date,NYMX_adj_close,NYMX_cashflow,NYMX_cml_units,NYMX_cml_cost,NYMX_gain_loss,NYMX_avg_price,NYMX_mktvalue
2019-12-12,2.27,-4999.308,2759.0,4999.308,2455.51,1.812,6262.93
2019-12-13,2.26,-4999.308,2759.0,4999.308,2455.51,1.812,6235.34
2019-12-16,2.28,-4999.308,2759.0,4999.308,2455.51,1.812,6290.52
2019-12-17,2.17,-4999.308,2759.0,4999.308,2455.51,1.812,5987.03
2019-12-18,2.07,-4999.308,2759.0,4999.308,2455.51,1.812,5711.13
2019-12-19,2.12,-4999.308,2759.0,4999.308,2455.51,1.812,5849.08
2019-12-20,2.2,-4999.308,2759.0,4999.308,2455.51,1.812,6069.8
2019-12-23,2.19,-4999.308,2759.0,4999.308,2455.51,1.812,6042.21
2019-12-24,2.16,-4999.308,2759.0,4999.308,2455.51,1.812,5959.44
2019-12-26,2.4,-4999.308,2759.0,4999.308,2455.51,1.812,6621.6
2019-12-27,2.42,-4999.308,2759.0,4999.308,2455.51,1.812,6676.78
2019-12-30,2.25,-4999.308,2759.0,4999.308,2455.51,1.812,6207.75
2019-12-31,2.2,-4999.308,2759.0,4999.308,2455.51,1.812,6069.8
2020-01-02,2.35,-4999.308,2759.0,4999.308,2455.51,1.812,6483.65
2020-01-03,2.95,-4999.308,2759.0,4999.308,2455.51,1.812,8139.05
2020-01-06,3.25,-4999.308,2759.0,4999.308,2455.51,1.812,8966.75
2020-01-07,3.03,-4999.308,2759.0,4999.308,2455.51,1.812,8359.77
2020-01-08,3.07,-4999.308,2759.0,4999.308,2455.51,1.812,8470.13
2020-01-09,3.06,-4999.308,2759.0,4999.308,2455.51,1.812,8442.54
2020-01-10,2.99,-4999.308,2759.0,4999.308,2455.51,1.812,8249.41
2020-01-13,2.95,-4999.308,2759.0,4999.308,2455.51,1.812,8139.05
2020-01-14,2.91,-4999.308,2759.0,4999.308,2455.51,1.812,8028.69
2020-01-15,3.07,-4999.308,2759.0,4999.308,2455.51,1.812,8470.13
2020-01-16,3.11,-4999.308,2759.0,4999.308,2455.51,1.812,8580.49
2020-01-17,3.06,-4999.308,2759.0,4999.308,2455.51,1.812,8442.54
2020-01-21,3.0,-4999.308,2759.0,4999.308,2455.51,1.812,8277.0
2020-01-22,3.11,-4999.308,2759.0,4999.308,2455.51,1.812,8580.49
2020-01-23,2.98,-4999.308,2759.0,4999.308,2455.51,1.812,8221.82
2020-01-24,2.91,-4999.308,2759.0,4999.308,2455.51,1.812,8028.69
2020-01-27,2.86,-4999.308,2759.0,4999.308,2455.51,1.812,7890.74
2020-01-28,3.06,-4999.308,2759.0,4999.308,2455.51,1.812,8442.54
2020-01-29,3.25,-4999.308,2759.0,4999.308,2455.51,1.812,8966.75
2020-01-30,3.88,-4999.308,2759.0,4999.308,2455.51,1.812,10704.92
2020-01-31,3.61,-4999.308,2759.0,4999.308,2455.51,1.812,9959.99
2020-02-03,3.73,-4999.308,2759.0,4999.308,2455.51,1.812,10291.07
2020-02-04,3.7,-4999.308,2759.0,4999.308,2455.51,1.812,10208.3
2020-02-05,3.77,-4999.308,2759.0,4999.308,2455.51,1.812,10401.43
2020-02-06,3.21,-4999.308,2759.0,4999.308,2455.51,1.812,8856.39
2020-02-07,3.09,-4999.308,2759.0,4999.308,2455.51,1.812,8525.31
2020-02-10,3.28,-4999.308,2759.0,4999.308,2455.51,1.812,9049.52
2020-02-11,3.13,-4999.308,2759.0,4999.308,2455.51,1.812,8635.67
2020-02-12,3.03,-4999.308,2759.0,4999.308,2455.51,1.812,8359.77
2020-02-13,3.14,-4999.308,2759.0,4999.308,2455.51,1.812,8663.26
2020-02-14,3.17,-4999.308,2759.0,4999.308,2455.51,1.812,8746.03
2020-02-18,3.12,-4999.308,2759.0,4999.308,2455.51,1.812,8608.08
2020-02-19,3.13,-4999.308,2759.0,4999.308,2455.51,1.812,8635.67
2020-02-20,3.22,-4999.308,2759.0,4999.308,2455.51,1.812,8883.98
2020-02-21,3.22,-4999.308,2759.0,4999.308,2455.51,1.812,8883.98
2020-02-24,3.08,-4999.308,2759.0,4999.308,2455.51,1.812,8497.72
2020-02-25,3.0,-4999.308,2759.0,4999.308,2455.51,1.812,8277.0
2020-02-26,2.98,-4999.308,2759.0,4999.308,2455.51,1.812,8221.82
2020-02-27,2.77,-4999.308,2759.0,4999.308,2455.51,1.812,7642.43
2020-02-28,2.86,-4999.308,2759.0,4999.308,2455.51,1.812,7890.74
2020-03-02,2.68,-4999.308,2759.0,4999.308,2455.51,1.812,7394.12
2020-03-03,2.57,-4999.308,2759.0,4999.308,2455.51,1.812,7090.63
2020-03-04,2.8,-4999.308,2759.0,4999.308,2455.51,1.812,7725.2
2020-03-05,2.71,-4999.308,2759.0,4999.308,2455.51,1.812,7476.89
2020-03-06,2.7,-4999.308,2759.0,4999.308,2455.51,1.812,7449.3
2020-03-09,2.53,-4999.308,2759.0,4999.308,2455.51,1.812,6980.27
2020-03-10,2.56,-4999.308,2759.0,4999.308,2455.51,1.812,7063.04
2020-03-11,2.29,-4999.308,2759.0,4999.308,2455.51,1.812,6318.11
2020-03-12,2.02,-4999.308,2759.0,4999.308,2455.51,1.812,5573.18
2020-03-13,2.13,-4999.308,2759.0,4999.308,2455.51,1.812,5876.67
2020-03-16,1.92,-4999.308,2759.0,4999.308,2455.51,1.812,5297.28
2020-03-17,2.17,-4999.308,2759.0,4999.308,2455.51,1.812,5987.03
2020-03-18,1.86,-4999.308,2759.0,4999.308,2455.51,1.812,5131.74
2020-03-19,1.81,-4999.308,2759.0,4999.308,2455.51,1.812,4993.79
2020-03-20,1.81,-4999.308,2759.0,4999.308,2455.51,1.812,4993.79
2020-03-23,1.69,-4999.308,2759.0,4999.308,2455.51,1.812,4662.71
2020-03-24,1.81,-4999.308,2759.0,4999.308,2455.51,1.812,4993.79
2020-03-25,2.02,-4999.308,2759.0,4999.308,2455.51,1.812,5573.18
2020-03-26,2.14,-4999.308,2759.0,4999.308,2455.51,1.812,5904.26
2020-03-27,2.17,-4999.308,2759.0,4999.308,2455.51,1.812,5987.03
2020-03-30,2.18,-4999.308,2759.0,4999.308,2455.51,1.812,6014.62
2020-03-31,2.34,-4999.308,2759.0,4999.308,2455.51,1.812,6456.06
2020-04-01,2.1,-4999.308,2759.0,4999.308,2455.51,1.812,5793.9
2020-04-02,2.14,-4999.308,2759.0,4999.308,2455.51,1.812,5904.26
2020-04-03,2.1,-4999.308,2759.0,4999.308,2455.51,1.812,5793.9
2020-04-06,2.13,-4999.308,2759.0,4999.308,2455.51,1.812,5876.67
2020-04-07,2.12,-4999.308,2759.0,4999.308,2455.51,1.812,5849.08
2020-04-08,2.12,-4999.308,2759.0,4999.308,2455.51,1.812,5849.08
2020-04-09,2.16,-4999.308,2759.0,4999.308,2455.51,1.812,5959.44
2020-04-13,2.33,-4999.308,2759.0,4999.308,2455.51,1.812,6428.47
2020-04-14,2.31,-4999.308,2759.0,4999.308,2455.51,1.812,6373.29
2020-04-15,2.27,-4999.308,2759.0,4999.308,2455.51,1.812,6262.93
2020-04-16,2.2,-4999.308,2759.0,4999.308,2455.51,1.812,6069.8
2020-04-17,2.35,-4999.308,2759.0,4999.308,2455.51,1.812,6483.65
2020-04-20,2.54,-4999.308,2759.0,4999.308,2455.51,1.812,7007.86
2020-04-21,2.61,-4999.308,2759.0,4999.308,2455.51,1.812,7200.99
2020-04-22,2.66,-4999.308,2759.0,4999.308,2455.51,1.812,7338.94
2020-04-23,2.77,-4999.308,2759.0,4999.308,2455.51,1.812,7642.43
2020-04-24,2.9,-4999.308,2759.0,4999.308,2455.51,1.812,8001.1
2020-04-27,3.05,-4999.308,2759.0,4999.308,2455.51,1.812,8414.95
2020-04-28,3.01,-4999.308,2759.0,4999.308,2455.51,1.812,8304.59
2020-04-29,2.99,-4999.308,2759.0,4999.308,2455.51,1.812,8249.41
2020-04-30,2.93,-4999.308,2759.0,4999.308,2455.51,1.812,8083.87
2020-05-01,2.9,-4999.308,2759.0,4999.308,2455.51,1.812,8001.1
2020-05-04,3.07,-4999.308,2759.0,4999.308,2455.51,1.812,8470.13
2020-05-05,3.21,-4999.308,2759.0,4999.308,2455.51,1.812,8856.39
2020-05-06,3.16,-4999.308,2759.0,4999.308,2455.51,1.812,8718.44
2020-05-07,3.11,-4999.308,2759.0,4999.308,2455.51,1.812,8580.49
2020-05-08,3.05,-4999.308,2759.0,4999.308,2455.51,1.812,8414.95
2020-05-11,3.15,-4999.308,2759.0,4999.308,2455.51,1.812,8690.85
2020-05-12,3.25,-4999.308,2759.0,4999.308,2455.51,1.812,8966.75
2020-05-13,3.1,-4999.308,2759.0,4999.308,2455.51,1.812,8552.9
2020-05-14,3.01,-4999.308,2759.0,4999.308,2455.51,1.812,8304.59
2020-05-15,3.06,-4999.308,2759.0,4999.308,2455.51,1.812,8442.54
2020-05-18,3.2,-4999.308,2759.0,4999.308,2455.51,1.812,8828.8
2020-05-19,3.26,-4999.308,2759.0,4999.308,2455.51,1.812,8994.34
2020-05-20,3.4,-4999.308,2759.0,4999.308,2455.51,1.812,9380.6
2020-05-21,3.44,-4999.308,2759.0,4999.308,2455.51,1.812,9490.96
2020-05-22,3.45,-4999.308,2759.0,4999.308,2455.51,1.812,9518.55
2020-05-26,3.42,-4999.308,2759.0,4999.308,2455.51,1.812,9435.78
2020-05-27,3.36,-4999.308,2759.0,4999.308,2455.51,1.812,9270.24
2020-05-28,3.4,-4999.308,2759.0,4999.308,2455.51,1.812,9380.6
2020-05-29,3.46,-4999.308,2759.0,4999.308,2455.51,1.812,9546.14
2020-06-01,3.46,-4999.308,2759.0,4999.308,2455.51,1.812,9546.14
2020-06-02,3.71,-4999.308,2759.0,4999.308,2455.51,1.812,10235.89
2020-06-03,3.95,-4999.308,2759.0,4999.308,2455.51,1.812,10898.05
2020-06-04,3.84,-4999.308,2759.0,4999.308,2455.51,1.812,10594.56
2020-06-05,3.89,-4999.308,2759.0,4999.308,2455.51,1.812,10732.51
2020-06-08,3.85,-4999.308,2759.0,4999.308,2455.51,1.812,10622.15
2020-06-09,3.87,-4999.308,2759.0,4999.308,2455.51,1.812,10677.33
2020-06-10,3.96,-4999.308,2759.0,4999.308,2455.51,1.812,10925.64
2020-06-11,3.73,-4999.308,2759.0,4999.308,2455.51,1.812,10291.07
2020-06-12,4.1,-4999.308,2759.0,4999.308,2455.51,1.812,11311.9
2020-06-15,4.6,-4999.308,2759.0,4999.308,2455.51,1.812,12691.4
2020-06-16,4.15,-4999.308,2759.0,4999.308,2455.51,1.812,11449.85
2020-06-17,3.76,-4999.308,2759.0,4999.308,2455.51,1.812,10373.84
2020-06-18,3.14,-4999.308,2759.0,4999.308,2455.51,1.812,8663.26
2020-06-19,3.55,-4999.308,2759.0,4999.308,2455.51,1.812,9794.45
2020-06-22,3.55,-4999.308,2759.0,4999.308,2455.51,1.812,9794.45
2020-06-23,3.6,-4999.308,2759.0,4999.308,2455.51,1.812,9932.4
2020-06-24,3.33,-4999.308,2759.0,4999.308,2455.51,1.812,9187.47
2020-06-25,3.96,-4999.308,2759.0,4999.308,2455.51,1.812,10925.64
2020-06-26,3.94,-4999.308,2759.0,4999.308,2455.51,1.812,10870.46
2020-06-29,3.52,-4999.308,2759.0,4999.308,2455.51,1.812,9711.68
2020-06-30,3.55,-4999.308,2759.0,4999.308,2455.51,1.812,9794.45
2020-07-01,3.61,-4999.308,2759.0,4999.308,2455.51,1.812,9959.99
2020-07-02,3.66,-4999.308,2759.0,4999.308,2455.51,1.812,10097.94
2020-07-06,3.65,-4999.308,2759.0,4999.308,2455.51,1.812,10070.35
2020-07-07,3.49,-4999.308,2759.0,4999.308,2455.51,1.812,9628.91
2020-07-08,3.47,-4999.308,2759.0,4999.308,2455.51,1.812,9573.73
2020-07-09,3.31,-4999.308,2759.0,4999.308,2455.51,1.812,9132.29
2020-07-10,3.22,-4999.308,2759.0,4999.308,2455.51,1.812,8883.98
2020-07-13,3.1,-4999.308,2759.0,4999.308,2455.51,1.812,8552.9
2020-07-14,3.27,-4999.308,2759.0,4999.308,2455.51,1.812,9021.93
2020-07-15,3.45,-4999.308,2759.0,4999.308,2455.51,1.812,9518.55
2020-07-16,3.41,-4999.308,2759.0,4999.308,2455.51,1.812,9408.19
2020-07-17,3.46,-4999.308,2759.0,4999.308,2455.51,1.812,9546.14
2020-07-20,3.4,-4999.308,2759.0,4999.308,2455.51,1.812,9380.6
2020-07-21,3.4,-4999.308,2759.0,4999.308,2455.51,1.812,9380.6
2020-07-22,3.42,-4999.308,2759.0,4999.308,2455.51,1.812,9435.78
2020-07-23,3.47,-4999.308,2759.0,4999.308,2455.51,1.812,9573.73
2020-07-24,3.36,-4999.308,2759.0,4999.308,2455.51,1.812,9270.24
2020-07-27,3.39,-4999.308,2759.0,4999.308,2455.51,1.812,9353.01
2020-07-28,3.28,-4999.308,2759.0,4999.308,2455.51,1.812,9049.52
2020-07-29,3.22,-4999.308,2759.0,4999.308,2455.51,1.812,8883.98
2020-07-30,3.18,-4999.308,2759.0,4999.308,2455.51,1.812,8773.62
2020-07-31,3.22,-4999.308,2759.0,4999.308,2455.51,1.812,8883.98
2020-08-03,3.27,-4999.308,2759.0,4999.308,2455.51,1.812,9021.93
2020-08-04,3.28,-4999.308,2759.0,4999.308,2455.51,1.812,9049.52
2020-08-05,3.3,-4999.308,2759.0,4999.308,2455.51,1.812,9104.7
2020-08-06,3.29,-4999.308,2759.0,4999.308,2455.51,1.812,9077.11
2020-08-07,3.19,-4999.308,2759.0,4999.308,2455.51,1.812,8801.21
2020-08-10,3.15,-4999.308,2759.0,4999.308,2455.51,1.812,8690.85
2020-08-11,3.02,-4999.308,2759.0,4999.308,2455.51,1.812,8332.18
2020-08-12,2.75,-4999.308,2759.0,4999.308,2455.51,1.812,7587.25
2020-08-13,2.56,-4999.308,2759.0,4999.308,2455.51,1.812,7063.04
2020-08-14,2.69,-4999.308,2759.0,4999.308,2455.51,1.812,7421.71
2020-08-17,2.76,-4999.308,2759.0,4999.308,2455.51,1.812,7614.84
2020-08-18,2.67,-4999.308,2759.0,4999.308,2455.51,1.812,7366.53
2020-08-19,2.78,-4999.308,2759.0,4999.308,2455.51,1.812,7670.02
2020-08-20,2.77,-4999.308,2759.0,4999.308,2455.51,1.812,7642.43
2020-08-21,2.79,-4999.308,2759.0,4999.308,2455.51,1.812,7697.61
2020-08-24,2.74,-4999.308,2759.0,4999.308,2455.51,1.812,7559.66
2020-08-25,2.68,-4999.308,2759.0,4999.308,2455.51,1.812,7394.12
2020-08-26,2.68,-4999.308,2759.0,4999.308,2455.51,1.812,7394.12
2020-08-27,2.65,-4999.308,2759.0,4999.308,2455.51,1.812,7311.35
2020-08-28,2.55,-4999.308,2759.0,4999.308,2455.51,1.812,7035.45
2020-08-31,2.52,-4999.308,2759.0,4999.308,2455.51,1.812,6952.68
2020-09-01,2.51,-4999.308,2759.0,4999.308,2455.51,1.812,6925.09
2020-09-02,2.46,-4999.308,2759.0,4999.308,2455.51,1.812,6787.14
2020-09-03,2.39,-4999.308,2759.0,4999.308,2455.51,1.812,6594.01
2020-09-04,2.56,-4999.308,2759.0,4999.308,2455.51,1.812,7063.04
2020-09-08,2.51,-4999.308,2759.0,4999.308,2455.51,1.812,6925.09
2020-09-09,2.46,-4999.308,2759.0,4999.308,2455.51,1.812,6787.14
2020-09-10,2.45,-4999.308,2759.0,4999.308,2455.51,1.812,6759.55
2020-09-11,2.58,-4999.308,2759.0,4999.308,2455.51,1.812,7118.22
2020-09-14,2.58,-4999.308,2759.0,4999.308,2455.51,1.812,7118.22
2020-09-15,2.5,-4999.308,2759.0,4999.308,2455.51,1.812,6897.5
2020-09-16,2.46,-4999.308,2759.0,4999.308,2455.51,1.812,6787.14
2020-09-17,2.37,-4999.308,2759.0,4999.308,2455.51,1.812,6538.83
2020-09-18,2.43,-4999.308,2759.0,4999.308,2455.51,1.812,6704.37
2020-09-21,2.41,-4999.308,2759.0,4999.308,2455.51,1.812,6649.19
2020-09-22,2.39,-4999.308,2759.0,4999.308,2455.51,1.812,6594.01
2020-09-23,2.49,-4999.308,2759.0,4999.308,2455.51,1.812,6869.91
2020-09-24,2.3,-4999.308,2759.0,4999.308,2455.51,1.812,6345.7
2020-09-25,2.37,-4999.308,2759.0,4999.308,2455.51,1.812,6538.83
2020-09-28,2.51,-4999.308,2759.0,4999.308,2455.51,1.812,6925.09
2020-09-29,2.6,-4999.308,2759.0,4999.308,2455.51,1.812,7173.4
2020-09-30,2.46,-4999.308,2759.0,4999.308,2455.51,1.812,6787.14
2020-10-01,2.54,-4999.308,2759.0,4999.308,2455.51,1.812,7007.86
2020-10-02,2.36,-4999.308,2759.0,4999.308,2455.51,1.812,6511.24
2020-10-05,2.43,-4999.308,2759.0,4999.308,2455.51,1.812,6704.37
2020-10-06,2.36,-4999.308,2759.0,4999.308,2455.51,1.812,6511.24
2020-10-07,2.39,-4999.308,2759.0,4999.308,2455.51,1.812,6594.01
2020-10-08,2.32,-4999.308,2759.0,4999.308,2455.51,1.812,6400.88
2020-10-09,2.2,-4999.308,2759.0,4999.308,2455.51,1.812,6069.8
2020-10-12,2.15,-4999.308,2759.0,4999.308,2455.51,1.812,5931.85
2020-10-13,2.31,-4999.308,2759.0,4999.308,2455.51,1.812,6373.29
2020-10-14,2.25,-4999.308,2759.0,4999.308,2455.51,1.812,6207.75
2020-10-15,2.35,-4999.308,2759.0,4999.308,2455.51,1.812,6483.65
2020-10-16,2.37,-4999.308,2759.0,4999.308,2455.51,1.812,6538.83
2020-10-19,2.34,-4999.308,2759.0,4999.308,2455.51,1.812,6456.06
2020-10-20,2.39,-4999.308,2759.0,4999.308,2455.51,1.812,6594.01
2020-10-21,2.38,-4999.308,2759.0,4999.308,2455.51,1.812,6566.42
2020-10-22,2.35,-4999.308,2759.0,4999.308,2455.51,1.812,6483.65
2020-10-23,2.29,-4999.308,2759.0,4999.308,2455.51,1.812,6318.11
2020-10-26,2.18,-4999.308,2759.0,4999.308,2455.51,1.812,6014.62
2020-10-27,2.07,-4999.308,2759.0,4999.308,2455.51,1.812,5711.13
2020-10-28,1.95,-4999.308,2759.0,4999.308,2455.51,1.812,5380.05
2020-10-29,1.98,-4999.308,2759.0,4999.308,2455.51,1.812,5462.82
2020-10-30,1.92,-4999.308,2759.0,4999.308,2455.51,1.812,5297.28
2020-11-02,2.01,-4999.308,2759.0,4999.308,2455.51,1.812,5545.59
2020-11-03,2.11,-4999.308,2759.0,4999.308,2455.51,1.812,5821.49
2020-11-04,2.06,-4999.308,2759.0,4999.308,2455.51,1.812,5683.54
2020-11-05,2.16,-4999.308,2759.0,4999.308,2455.51,1.812,5959.44
2020-11-06,2.13,-4999.308,2759.0,4999.308,2455.51,1.812,5876.67
2020-11-09,2.03,-4999.308,2759.0,4999.308,2455.51,1.812,5600.77
2020-11-10,1.9,-4999.308,2759.0,4999.308,2455.51,1.812,5242.1
2020-11-11,2.0,-4999.308,2759.0,4999.308,2455.51,1.812,5518.0
2020-11-12,2.04,-4999.308,2759.0,4999.308,2455.51,1.812,5628.36
2020-11-13,1.96,-4999.308,2759.0,4999.308,2455.51,1.812,5407.64
2020-11-16,1.99,-4999.308,2759.0,4999.308,2455.51,1.812,5490.41
2020-11-17,1.99,-4999.308,2759.0,4999.308,2455.51,1.812,5490.41
2020-11-18,1.98,-4999.308,2759.0,4999.308,2455.51,1.812,5462.82
2020-11-19,2.1,-4999.308,2759.0,4999.308,2455.51,1.812,5793.9
2020-11-20,2.03,-4999.308,2759.0,4999.308,2455.51,1.812,5600.77
2020-11-23,1.92,-4999.308,2759.0,4999.308,2455.51,1.812,5297.28
2020-11-24,2.1,-4999.308,2759.0,4999.308,2455.51,1.812,5793.9
2020-11-25,2.06,-4999.308,2759.0,4999.308,2455.51,1.812,5683.54
